Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1005,Arezzo,4,43.464,11.882,06/07/20,4.86
1091 01 27,Roma,1,41.899,12.477,7,5.1
1117 01 03 15 15,Monti Pisani,5,,,,
1148,Firenze,1,43.773,11.257,7,5.1
1160 10 15,Subiaco,2,41.925,13.095,07/08/20,5.33
1168 01 10,Pisa,1,43.718,10.402,05/06/20,4.4
1174 08 17 18,Val Padana,3,44.494,11.343,04/05/20,3.93
1194,Galeata,3,44.067,12.078,06/07/20,4.86
1196,Pistoia,1,43.933,10.915,6,4.63
1234 03 20,Ferrara,1,44.835,11.62,7,5.1
1246,Spoleto,1,42.736,12.737,07/08/20,5.33
1249 09,Modena,2,44.647,10.926,06/07/20,4.86
1269,Alta Valtiberina,2,,,,
1269 09,Costa anconetana,2,43.566,13.567,8,5.56
1276 05 22,Orvietano,2,42.721,12.091,8,5.56
1277,Spoleto,1,42.736,12.737,8,5.56
1279 04 30,Appennino forlivese,5,44.13,11.919,07/08/20,5.52
1279 04 30 18,Appennino umbro-marchigiano,17,43.093,12.872,9,6.2
1280 01 25,Pianura emiliana,2,44.814,10.683,05/06/20,4.4
1285 12 13,Ferrara,2,44.835,11.62,7,5.1
1287,Monte Amiata,1,42.88,11.678,06/07/20,4.86
1293 03,Pistoia,1,43.933,10.915,8,5.56
1298 11 30,Rieti,1,42.402,12.86,05/06/20,4.4
1298 12 01,Monti Reatini,5,42.575,12.902,09/10/20,6.26
1303 08,Adriatico centrale,4,,,,
1306 07,Lucca,1,43.843,10.505,6,4.63
1308 01 25 17 15,Rimini,1,44.059,12.568,07/08/20,5.33
1315 12 03,Aquilano,4,42.351,13.399,8,5.56
1320 12 16,Siena,1,43.318,11.332,7,5.1
1322,Pisa,1,43.718,10.402,05/06/20,4.4
1323 02 25 19,Bologna,2,44.57,11.134,5,4.16
1325 05 21,Firenze,1,43.773,11.257,05/06/20,4.4
1328 12 01,Valnerina,13,42.857,13.018,10,6.49
1339 11 16 14 10,Ferrara,1,44.835,11.62,6,4.63
1345 01 31,Pianura emiliana,1,44.81,10.564,05/06/20,4.4
1345 09 12,Firenze,1,43.773,11.257,6,4.63
1345 12 22,Firenze,1,43.773,11.257,6,4.63
1346 02 08,Modena,1,44.647,10.926,5,4.16
1348 09 13,Subiaco,1,41.925,13.095,8,5.56
1349 09 09,Appennino laziale-abruzzese,17,42.27,13.118,9,6.27
1349 09 09 08 15,Viterbese,9,,,,
1352 12 25,Alta Valtiberina,7,43.469,12.127,9,6.31
1358,Alta Valtiberina,1,43.57,12.141,06/07/20,4.86
1361 12 27,Siena,1,43.318,11.332,06/07/20,4.86
1365 07 25 18,Bologna,1,44.494,11.343,07/08/20,5.33
1383 08 04,Forlì,1,44.222,12.04,07/08/20,5.33
1384 02 04 05 05,Firenze,1,43.773,11.257,5,4.16
1384 02 04 17 10,Firenze,1,43.773,11.257,5,4.16
1384 10 22,Teramo,2,42.659,13.703,7,5.1
1389 04,Fano,1,43.837,13.018,7,5.1
1389 10 18,Alta Valtiberina,9,43.527,12.299,9,6.03
1393 06 15,Appennino forlivese,1,43.996,11.912,7,5.1
1398 04 03,Aquilano,2,42.351,13.399,6,4.63
1399 07 20 23,Appennino modenese,6,44.441,10.925,7,5.1
1400 02 29 19 15,Bologna,1,44.494,11.343,5,4.16
1400 03 03 12 15,Bologna,1,44.494,11.343,5,4.16
1408 01 03 16 30,Bologna,2,44.494,11.343,4,3.7
1409 08 17 00 35,Ferrara,1,44.835,11.62,6,4.63
1410 05 09 22 30,Ferrara,1,44.835,11.62,06/07/20,4.86
1411 01 09 02,Ferrara,1,44.835,11.62,7,5.1
1414 08 07,Colline Metallifere,8,43.27,11.121,07/08/20,5.7
1420,Siena,1,43.318,11.332,05/06/20,4.4
1423 11 10,L'Aquila,1,42.351,13.399,5,4.16
1424 10 20,Appennino tosco-romagnolo,1,44.172,11.947,5,4.16
1425 08 10,Ferrarese,2,44.835,11.62,6,4.63
1426,Firenze,1,43.773,11.257,05/06/20,4.4
1428 07 03 05,Forlivese,6,44.146,12.046,07/08/20,5.47
1429 06 26,Siena,1,43.318,11.332,5,4.16
1430 08 13 00 40,Siena,1,43.318,11.332,5,4.16
1433 05 04 08 05,Bologna,4,44.494,11.343,6,4.63
1436 03,Siena,1,43.318,11.332,06/07/20,4.86
1438 02 02 12 15,Colli Albani,1,41.787,12.677,07/08/20,5.33
1449 10 15 20 45,Crete Senesi,2,43.234,11.56,6,4.63
1453 09 28 22 45,Fiorentino,5,43.783,11.287,07/08/20,5.38
1455 02 06,Appennino bolognese,2,,,,
1455 12 20 20 45,Appennino bolognese,5,44.494,11.343,05/06/20,4.4
1456 12 09,Sansepolcro,1,43.57,12.141,05/06/20,4.4
1458 04 26 12 15,Alta Valtiberina,5,43.463,12.236,08/09/20,5.8
1458 05,Appennino umbro-marchigiano,2,43.194,13.229,05/06/20,4.4
1458 05 01 00 35,Alta Valtiberina,2,43.457,12.239,6,4.63
1461 11 27,Aquilano,8,42.308,13.543,10,6.5
1461 11 27 23 05,Aquilano,,,,,
1462 01 03 20 25,Aquilano,1,42.351,13.399,5,4.16
1462 01 04 22 25,Aquilano,1,42.351,13.399,5,4.16
1462 03 27 02,Aquilano,1,42.351,13.399,5,4.16
1464 03 24,Garfagnana,2,43.996,10.457,5,4.16
1465 04 07 15 30,Pianura emiliana,5,44.698,10.631,05/06/20,4.4
1465 05 17,Gubbio,1,43.351,12.577,6,4.63
1466 12 20 11,Aquilano,2,42.351,13.399,5,4.16
1466 12 26,Gubbio,1,43.351,12.577,6,4.63
1467 08 22 20 20,Siena,1,43.318,11.332,05/06/20,4.4
1467 09 03,Siena,1,43.318,11.332,06/07/20,4.86
1468 06 06 10 30,Romagna,3,44.059,12.568,4,3.7
1469 04 07 06 25,Firenze,1,43.773,11.257,5,4.16
1470 04 11,Appennino bolognese,1,44.162,11.037,8,5.56
1471 03,Gubbio,1,43.351,12.577,5,4.16
1472,Rimini,1,44.059,12.568,7,5.1
1473 02 02,Rimini,1,44.059,12.568,05/06/20,4.4
1474 03 11 20 30,Modena,3,44.647,10.926,5,4.16
1474 08 18,Ancona,1,43.619,13.513,7,5.1
1477 01 30 16,Valle Umbra,1,42.955,12.704,05/06/20,4.4
1477 02 03 01,Valle Umbra,3,42.955,12.704,06/07/20,4.86
