Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1005,Cassino,1,41.488,13.831,7,5.1
1019 04 01,Benevento,1,41.131,14.778,6,4.63
1044 04 19 09,Benevento,1,41.131,14.778,6,4.63
1087 09 10,Bari,1,41.129,16.869,06/07/20,4.86
1091 01 27,Roma,1,41.899,12.477,7,5.1
1094 01 14,Benevento,1,41.131,14.778,6,4.63
1120 03 25,Valle del Garigliano,4,41.377,13.917,08/09/20,5.8
1125 10 11,Benevento,1,41.131,14.778,07/08/20,5.33
1139 01 22,Benevento,1,41.131,14.778,05/06/20,4.4
1160 10 15,Subiaco,2,41.925,13.095,07/08/20,5.33
1161 01 16 06,Frusinate,1,41.568,13.334,7,5.1
1170 05 09,Frusinate,1,41.568,13.334,8,5.56
1198,Pozzuoli,1,40.822,14.123,6,3.37
1209,Appennino abruzzese,2,,,,
1231 06 01 11,Cassinese,3,41.488,13.831,7,5.1
1258 02 19 16 30,Monti della Meta,2,,,,
1273 12 18,Potenza,1,40.638,15.802,08/09/20,5.8
1275 11 02,Isola d'Ischia,1,40.743,13.942,08/09/20,4.01
1280,Napoli,1,,,,
1293 09 04,Sannio-Matese,6,41.304,14.548,08/09/20,5.8
1294,Capitanata,1,,,,
1298 11 30,Rieti,1,42.402,12.86,05/06/20,4.4
1315 12 03,Aquilano,4,42.351,13.399,8,5.56
1348 09 13,Subiaco,1,41.925,13.095,8,5.56
1349 01 22 18,Isernia,1,41.592,14.228,05/06/20,4.4
1349 09 09,Appennino laziale-abruzzese,17,42.27,13.118,9,6.27
1349 09 09,Maiella,4,,,,
1349 09 09,Lazio-Molise,24,41.554,13.942,10,6.8
1353 04 22,Vulture,1,,,,
1361 07 17 17 15,Subappennino dauno,2,41.205,15.561,9,6.03
1367,Cassinese,1,41.54,13.867,7,5.1
1384 10 22,Teramo,2,42.659,13.703,7,5.1
1386 03 17,Napoli,1,40.849,14.25,07/08/20,3.75
1398 04 03,Aquilano,2,42.351,13.399,6,4.63
1406 09 16,Napoli,1,40.849,14.25,5,3.12
1414,Gargano,1,41.882,16.18,08/09/20,5.8
1423 11 10,L'Aquila,1,42.351,13.399,5,4.16
1438 02 02 12 15,Colli Albani,1,41.787,12.677,07/08/20,5.33
1456 12 05,Appennino centro-meridionale,199,41.302,14.711,11,7.19
1456 12 30 08 20,Appennino centro-meridionale,2,,,,
1457 01 08,Napoli,1,40.849,14.25,6,3.37
1457 02 10,Capua,2,41.106,14.214,05/06/20,4.4
1461 11 27,Aquilano,8,42.308,13.543,10,6.5
1461 11 27 23 05,Aquilano,,,,,
1462 01 03 20 25,Aquilano,1,42.351,13.399,5,4.16
1462 01 04 22 25,Aquilano,1,42.351,13.399,5,4.16
1462 03 27 02,Aquilano,1,42.351,13.399,5,4.16
1466 01 15 02 25,Irpinia-Basilicata,31,40.765,15.334,08/09/20,5.98
1466 12 20 11,Aquilano,2,42.351,13.399,5,4.16
