Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1172 09 26 13 40,Messina,1,38.185,15.555,8,5.56
1184 05 24,Valle del Crati,6,39.395,16.193,9,6.75
1230 04 05,Reggio di Calabria,1,38.108,15.647,05/06/20,4.4
1255 11 17 10,Messina,1,38.185,15.555,06/07/20,4.86
1323 06 30,Etna,1,,,,
1329 06 28 22,Etna - Area sommitale,1,37.75,15,07/08/20,4.03
1352 01 25,Catania,1,37.502,15.087,07/08/20,5.33
1377 11 14,Tropea,1,38.675,15.899,07/08/20,5.33
1429 11 10 16 20,Messina,1,38.185,15.555,06/07/20,4.86
1444,Etna,1,,,,
1448,Messina,1,38.185,15.555,5,4.16
1450,Sicilia settentrionale,2,38.113,14.884,05/06/20,4.4
1490 06 10,Sicilia settentrionale,4,37.816,14.614,7,5.1
1494 05 29 02 15,Messina,1,38.185,15.555,07/08/20,5.33
1499 11 09,Messina,1,38.185,15.555,07/08/20,5.33
1509 02 25 22 20,Stretto di Messina,4,38.099,15.684,8,5.56
1513 08 25,Messina,1,38.185,15.555,5,4.16
1517 12 31 03 55,Catania,1,37.502,15.087,5,4.16
1518 05 20 21 40,Catania,1,37.502,15.087,5,4.16
1524 12 29 07 50,Catania,1,37.502,15.087,5,4.16
1536 03 23,Catania,1,37.502,15.087,06/07/20,4.86
1537 05,Catania,1,37.502,15.087,05/06/20,4.4
1549 04,Messina,1,38.185,15.555,5,4.16
1549 05 31,Stretto di Messina,1,,,,
1556 11 17,Cosenza,1,39.303,16.252,7,5.1
1559 04 27 12,Pollino,2,39.844,16.136,06/07/20,4.86
1566 11 30,Etna - Versante settentrionale,2,37.877,14.948,06/07/20,3.47
1599 08,Stretto di Messina,2,38.147,15.601,7,5.1
1601,Messina,1,38.185,15.555,5,4.16
1609 07 20,Calabria centrale,5,38.925,16.373,08/09/20,5.8
1613 08 25 05,Monti Nebrodi,2,38.122,14.788,8,5.56
1619 01 25,Calabria,1,,,,
1621 08 09,Calabria,1,,,,
1624 02 03,Calabria centrale,4,39.027,16.283,7,5.1
1626 04 04 12 45,Calabria centrale,7,38.851,16.456,9,6.07
1633 02 22 03,Etna - Nicolosi,2,37.614,15.026,07/08/20,4.03
1634 12 21 18,Etna - Versante meridionale,3,37.614,15.081,06/07/20,3.47
1635 08 12,Messina,3,38.185,15.555,05/06/20,4.4
1638 03 27 15 05,Calabria centrale,213,39.048,16.289,11,7.09
1638 06 08 09 45,Crotonese,41,39.279,16.812,10,6.76
1640 06 19,Calabria centrale,3,38.632,16.491,08/09/20,5.8
1640 06 22,Calabria centrale,1,38.568,16.524,07/08/20,5.33
1643 07 17,Monti Nebrodi,1,37.783,14.599,06/07/20,4.86
1649 01,Stretto di Messina,2,38.185,15.555,05/06/20,4.4
1656 06,Cosenza,1,39.303,16.252,07/08/20,5.33
1659 11 05 22 15,Calabria centrale,126,38.694,16.249,10,6.57
1669 03 10 23 25,Etna - Nicolosi,3,37.614,15.026,07/08/20,4.03
