Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1046 11 09,Trentino,2,,,,
1065 03 27,Brescia,2,45.539,10.22,7,5.1
1065 03 27 16 45,Brescia,,,,,
1117 01 03 15 15,Veronese,55,45.267,11.015,9,6.52
1182 08 15,Genova,1,44.419,8.898,6,4.63
1183 12,Verona,1,45.439,10.994,06/07/20,4.86
1217 01 08,Genova,1,44.419,8.898,05/06/20,4.4
1222 12 25 12 30,Bresciano-Veronese,18,45.533,10.623,07/08/20,5.68
1276 07 29 18 30,Monferrato,9,44.627,8.482,5,4.81
1280 01 25,Pianura emiliana,2,44.814,10.683,05/06/20,4.4
1295 09 03,"Grigioni, Churwalden",17,46.78,9.54,8,6.2
1304 10 23 00 45,Pianura emiliana,4,,,,
1304 12 18 02,Pianura lombarda,1,45.352,8.954,05/06/20,4.4
1311,Pinerolo,1,44.885,7.327,6,4.63
1312 10 14 11 15,Pianura lombarda,1,45.352,8.954,5,4.16
1334 12 04,Verona,1,45.439,10.994,06/07/20,4.86
1344 11 11,Parma,1,44.801,10.33,5,4.16
1345 01 31,Pianura emiliana,1,44.81,10.564,05/06/20,4.4
1365 09 21 05 45,Verona,2,45.439,10.994,05/06/20,4.4
1369 02 01,Alessandria,2,44.913,8.615,06/07/20,4.86
1383 07 24 20,Parma,2,44.801,10.33,04/05/20,3.93
1396 11 26,Monza,1,45.584,9.274,07/08/20,5.33
1402,Verona,1,45.439,10.994,6,4.63
1409 11 15 11 15,Parma,1,44.801,10.33,7,5.1
1410 06 10 21,Verona,5,,,,
1438 06 11 02,Parmense,4,44.844,10.239,8,5.56
1445 03 21 13 30,Verona,1,45.439,10.994,05/06/20,4.4
1449,Pinerolo,1,44.885,7.327,5,4.16
1465 04 07 15 30,Pianura emiliana,5,44.698,10.631,05/06/20,4.4
1471,Brescia,1,45.539,10.22,4,3.7
1471 08 15 16 40,Brescia,1,45.539,10.22,5,4.16
1473 05 07 07 45,Milanese,5,45.464,9.191,4,3.7
1481 02 07 22 45,Pianura emiliana,2,44.724,10.628,5,4.16
1485,Reggio nell'Emilia,1,44.698,10.631,5,4.16
1498 04,Berna,,,,,
1498 09 03 14,Berna,,,,,
1504 03,"Bassa Engadina, Ardez",2,,,,
1507,Pinerolo,1,44.885,7.327,5,4.16
1512 02 08,Valchiavenna,1,46.322,9.402,6,4.63
1513 02 10,Alessandria,1,44.913,8.615,5,4.16
1515 10 25 12 35,Pianura Padana,5,,,,
1520 02 18 04 30,Bresciano-Veronese,2,,,,
1521 01 26 10 30,Bresciano,1,,,,
1522 10 05 00 10,Pianura Padana,6,44.982,10.05,5,4.71
1524 04,"Vallese, Ardon",,46.27,7.27,7,5.8
1536 08 10 23,Genova,1,44.419,8.898,6,4.63
1537 11,Savona,1,44.307,8.48,6,4.63
1540 09 01 08 10,Brescia,1,45.539,10.22,5,4.16
1541 10 22 18,Valle Scrivia,9,44.761,8.909,7,5.26
1542 05 13 19 40,Piemonte,1,,,,
1545 06 09 15 45,Val di Taro,5,44.473,9.825,07/08/20,5.38
1547 02 10 13 20,Reggiano,7,44.698,10.631,7,5.1
1547 03 24,Reggiano,1,44.698,10.631,05/06/20,4.4
1547 07 31,Savona,1,44.307,8.48,05/06/20,4.4
1549 05 13 08 30,Liguria occidentale,6,44.517,7.752,04/05/20,4.37
1572 06 04 22,Parmense,5,44.85,10.422,6,4.63
1576 09 26 05 10,Bergamo,1,45.694,9.671,05/06/20,4.4
1584 03 11 11 30,"Vaud, Aigle",,46.33,6.97,8,5.9
1584 03 14 08,"Vaud, Aigle",,46.32,6.98,7,5.4
1586 01 12,Parmense,1,44.866,10.061,5,4.16
1591 05 24,Reggio nell'Emilia,1,44.698,10.631,6,4.63
1593 03 08,Bergamo,1,45.694,9.671,06/07/20,4.86
1599 11 02,Grigioni,,,,,
1600 10 28,Reggio nell'Emilia,1,44.698,10.631,07/08/20,5.33
1606 08 22,Bergamo,1,45.694,9.671,06/07/20,4.86
1607 12 31,Reggio nell'Emilia,1,44.698,10.631,5,4.16
1608 01 06 22 20,Reggio nell'Emilia,2,44.698,10.631,05/06/20,4.4
1610 05 14,Liguria occidentale,2,44.307,8.48,4,3.7
1611 01 15,Val Pellice,1,44.808,7.245,05/06/20,4.4
1622 08 03,"Bassa Engadina, Ftan",,46.82,10.23,7,5.4
1628 11 04 15 40,Parma,1,44.801,10.33,06/07/20,4.86
1628 11 04 15 40,Parma,1,,,,
1637 11 20,Chiavari,1,44.317,9.322,05/06/20,4.4
1641 06 08,Lunigiana,1,44.377,9.882,6,4.63
1642 06 13,Pianura lombarda,8,45.437,9.667,6,4.92
1646 05 30 01,Mantovano,2,45.158,10.794,4,3.7
1653 04 19 04 15,Reggiano,4,44.814,10.504,05/06/20,4.4
1661 03 12,Prealpi bergamasche,4,45.705,9.799,06/07/20,4.86
1680 04 30 11,Valle Scrivia,1,44.688,8.803,7,5.1
1683 05 25,Valli Giudicarie,4,46.025,10.864,05/06/20,4.4
1685 03 08 19,"Vallese, Mittelwallis",,46.28,7.63,7,5.3
1693 07 06 09 15,Mantovano,13,45.28,10.644,7,5.23
1695 09 11,"Grigioni, Region Praettigau",,46.88,9.67,6,5
1703 12 21 21,Piemonte-Liguria,3,44.542,8.529,4,3.7
1704 05 13 12 15,Riviera Ligure,4,44.298,8.574,5,4.16
1704 05 14 00 45,Riviera Ligure,2,44.363,8.689,5,4.16
1712 08 11,"Vaud, Bex",,46.25,7.01,4,3.2
1719 12 12 19,Valli Giudicarie,2,45.803,10.671,5,4.16
1729 01 13 21,"Berna, Frutigen",,46.63,7.63,6,5.2
1732 02 04 18 20,Parma,9,44.871,10.468,05/06/20,4.65
1738 11 05 00 30,Emilia occidentale,10,44.906,10.028,7,5.1
1751 11 21,Liguria,6,44.419,8.898,4,3.7
1753 03 09 13 15,Val Chisone,16,44.941,7.181,06/07/20,5.16
1754 09 19,"Vallese, Haut de Cry",,46.24,7.19,5,3.9
1755 12 09 13 45,"Vallese, Brig-Naters",,46.32,7.98,8,5.7
1755 12 21 03,"Vallese, Brig-Naters",,46.29,8.06,5,3.9
1759 05 26 22 15,Pavese,4,44.893,8.648,5,4.16
1767 02 07 03 45,Genovese,10,44.548,8.681,6,4.98
1767 05 26 18 24,Valli di Lanzo,3,45.272,7.502,7,5.1
1770 03 20 15 30,"Vaud, Château-d'Oex",,46.48,7.18,6,5.2
1771 08 15 08 15,Pianura lombarda,3,45.606,9.722,5,4.16
1774 03 04,Parma,2,44.801,10.33,5,4.16
1774 03 31 14 49,Bresciano,6,45.552,10.111,05/06/20,4.4
1780 08 01,Valle Scrivia,1,44.897,8.864,5,4.16
1780 08 04,Valle Scrivia,1,44.897,8.864,5,4.16
1781 09 10 11 30,Pianura lombarda,11,45.501,9.589,06/07/20,4.93
1783 07 28,Garda settentrionale,4,45.879,10.808,6,4.63
1784 03 30 11,Oltrepò Pavese,1,44.776,9.183,5,4.16
1785 07 19 22 30,Val Lagarina,5,45.978,11.079,4,3.7
1785 11 18,Bassa Engadina,4,,,,
1786 04 07 00 15,Pianura lombarda,10,45.267,9.55,06/07/20,5.22
1786 11 24 06 45,Langhe,26,44.731,7.909,5,4.29
1787 08 26 23 30,"Appenzell, Bludenz-Vorarlberg",,47.16,9.81,5,4.7
1790 07 26,Lunigiana,3,44.354,9.909,7,5.1
1799 02 22 05 45,Correggio,2,44.771,10.779,5,4.16
1799 05 29 19,Bresciano,12,45.404,10.27,06/07/20,5.04
1802 05 12 09 30,Valle dell'Oglio,94,45.424,9.839,8,5.6
1805 11 30 05,"Grigioni, Albula",,46.57,9.78,4,3.2
1806 02 12,Reggiano,28,44.862,10.671,7,5.21
1807 12 19 01 30,Biellese,3,45.552,7.97,5,4.16
1808 04 02 16 43,Val Pellice,105,44.838,7.248,8,5.64
1808 04 02 20 15,Val Pellice,15,44.823,7.261,7,5.02
1808 04 16 01 15,Val Pellice,21,44.846,7.316,7,5.34
1808 04 18 03,Val Pellice,5,44.88,7.188,06/07/20,5.11
1808 04 20 10,Val Pellice,7,44.814,7.293,6,4.85
1810 05 01,Monte Baldo,1,45.764,10.809,6,4.63
1810 12 25 00 45,Pianura emiliana,33,44.9,10.719,6,5.06
1811 06 06 22 45,"Grigioni, Chur",,46.867,9.533,5,3.9
1813 09 22 01 30,"Bassa Engadina, Ardez",,46.76,10.19,5,4.6
1815 02 26,Prealpi Vicentine,3,45.722,11.433,4,3.7
1817 03 11 21 25,Massif du Mont-Blanc,43,46,6.742,7,5.4
1818 12 09 18 55,Parmense,26,44.696,10.296,7,5.24
1824 02 04 21 50,Oltrepò Pavese,8,44.92,9.126,5,4.49
1826 06 24 12 15,Garda occidentale,20,45.606,10.522,5,4.62
1826 11 11 04 28,Pavia,1,45.185,9.155,5,4.16
1827 02 26,"Vallese, Brig",,46.29,8.06,4,3.2
1827 04 02 00 20,"Bassa Engadina, Ardez",10,46.703,10.11,6,5
1827 11 21 02,"Berna, Wengen",,46.583,7.9,05/06/20,4.3
1828 10 09 02 20,Oltrepò Pavese,110,44.821,9.047,8,5.72
1828 10 09 08,Oltrepò Pavese,6,,,,
1828 10 10 01 30,Oltrepò Pavese,18,,,,
1829 09 06 19 30,Cremona,2,45.135,10.023,05/06/20,4.4
1831 07 14 15 30,Reggiano,8,44.749,10.48,05/06/20,4.6
1831 09 11 18 15,Pianura emiliana,25,44.753,10.544,07/08/20,5.48
1831 09 13 05 30,Pianura emiliana,7,,,,
1832 03 11 06 45,Carpi,14,44.778,10.832,5,4.51
1832 03 11 08 45,Parmense,14,,,,
1832 03 12 02 30,Parmense,4,,,,
1832 03 12 08 45,Reggiano,7,,,,
1832 03 13 03 30,Reggiano,97,44.765,10.494,07/08/20,5.51
1832 04 19 14 14,Reggiano,5,,,,
1834 02 14 13 15,Val di Taro-Lunigiana,112,44.432,9.859,9,5.96
1834 07 04 00 45,Val di Taro-Lunigiana,24,44.531,9.948,06/07/20,5.08
1835 04 18 17 25,"Berna, Interlaken",,46.683,7.833,5,3.9
1835 04 20 03,Val di Taro,1,44.488,9.767,5,4.16
1835 04 25 02 45,Val di Taro,6,44.454,9.686,05/06/20,4.77
1837 01 24 01,"Berna, Birgisch",,46.32,7.97,7,5.4
1839 08 09 08 45,Brescia,1,45.539,10.22,5,4.16
1841 10 15 22,Veronese,12,45.167,11.11,5,4.27
1842 03 30 00 30,"Vaud, Bex",,46.25,7.01,3,2.4
1845 01 20 05 15,Valle Scrivia,2,44.781,8.999,4,3.7
1849 11 28 18,Val di Taro,7,44.453,9.792,6,4.63
1851 02 05 09 50,Valtellina,30,46.157,9.768,5,4.72
1851 08 03,Valli Giudicarie,15,45.941,10.559,6,4.92
1851 08 24 00 30,"Berna, Grone",,46.25,7.45,6,4.9
1852 07 29 12 30,Alta Engadina,,46.477,9.782,5,4.4
1852 07 28,Alta Engadina,,46.5,10,4,3.2
1855 07 25 11 50,"Vallese, Stalden-Visp",,46.23,7.85,8,6.2
1855 07 26 09 15,"Vallese, Stalden-Visp",,46.23,7.88,8,5.5
1855 07 26 13 20,"Vallese, Stalden-Visp",,46.23,7.82,7,5.3
1855 07 27 10,"Vallese, Stalden-Visp",,46.28,7.88,6,4.7
1855 07 28 10,"Vallese, Stalden-Visp",,46.25,7.82,7,5.1
1855 08 24,"Vallese, Stalden-Visp",,46.25,7.88,6,5
1855 08 26 09,"Vallese, Stalden-Visp",,46.25,7.92,5,4.3
1855 10 28 01 30,"Vallese, Stalden-Visp",,46.25,7.92,6,4.6
1855 11 06 03,"Vallese, Stalden-Visp",,46.23,7.92,6,5
1856 08 06 13 45,"Vallese, Stalden-Visp",,46.2,7.8,5,4.3
1857 02 01,Parmense-Reggiano,22,44.749,10.48,06/07/20,5.11
1857 08 27,Bassa Engadina,5,46.78,10.25,6,4.7
1857 11 04 07 15,"Vallese, Stalden-Visp",,46.25,7.88,05/06/20,4.3
1858 02 05 03 30,"Vallese, Stalden-Visp",,46.28,7.88,5,4.1
1858 10 25 01 42 30.00,Val Chisone,3,44.888,7.307,6,4.63
1858 11 01 20 35,Val Chisone,,,,,
1858 11 05 20 36,Val Chisone,,,,,
1858 11 07 21 30,Val Chisone,,,,,
1860 07 17 13 43 31.00,Reggiano,5,44.743,10.793,04/05/20,3.93
1861 03 16,Varese Ligure,2,44.377,9.592,6,4.63
1862 05 04 21,"Vallese, Saint Nicolas",7,46.25,7.867,04/05/20,3.5
1866 04 14,"Vorarlberg, Wald/Arlberg",,47.15,10.02,6,4.63
1866 08 11 23,Monte Baldo,33,45.737,10.797,7,4.96
1866 09 22 14 40,Piemonte centro-meridionale,13,44.853,7.691,04/05/20,4.38
1868 02 20 19 45,Monte Baldo,5,45.741,10.802,06/07/20,4.76
1868 05 22 21 15,Garda settentrionale,11,45.888,10.869,5,4.4
1869 11 29 17 38,Aosta,1,45.736,7.317,04/05/20,3.93
1872 11 27 07 20,"Bassa Engadina, Zernez",,46.69,10.11,4,3.2
1873 08 03 21 53,Biellese,3,45.558,7.978,4,3.7
1874 12 01 19 30,"Vallese, Sankt Niklaus",,45.96,7.76,5,4.4
1875 02 11 20,Biellese,5,45.57,7.919,5,4.16
1875 02 14 04 40,Canavese,3,45.487,7.867,04/05/20,3.93
1875 10 14 09 30,Tarentaise,3,45.466,6.55,5,4.16
1876 04 29 10 49,Monte Baldo,25,45.749,10.785,7,5.07
1876 04 29 13 15,Monte Baldo,1,45.676,10.854,5,4.16
1876 04 29 23,Monte Baldo,3,45.725,10.818,05/06/20,4.4
1876 05 01 10 50,Verona,2,45.439,10.994,04/05/20,3.93
1876 05 02,Monte Baldo,3,45.756,10.787,06/07/20,4.86
1876 05 29 10 30,Monte Baldo,4,,,,
1876 05 29 10 45,Monte Baldo,5,45.73,10.785,06/07/20,4.86
1877 10 01 07 20,Monte Baldo,6,45.761,10.808,6,4.44
1877 10 22 21,"Vallese, Zermatt",,46.033,7.75,5,3.9
1878 01 22 07 44,Cuneese,4,44.673,7.334,04/05/20,3.93
1878 04 14 18 45,"Grigioni, Val Lischana-Scuol",,46.78,10.32,5,3.9
1879 02 14,Garda occidentale,13,45.715,10.127,5,4.62
1879 12 30 12 27,Chablais,71,46.095,6.633,7,5.2
1879 12 30 20 10,Chablais,18,46.067,6.583,4,4.34
1880 07 04 08 20,"Vallese, Embd",,46.22,7.8,7,5.2
1880 07 04 19 50,"Vallese, Brig-Visp",,46.28,7.88,5,4.4
1880 08 02 02 15,Biellese,1,45.627,7.981,5,4.16
1881 03 02 00 10,Biellese,1,45.554,8.021,5,4.16
1881 03 03 02 30,"Vallese, Brig",,46.3,8,5,4.6
1881 06 09 00 35,Basso Vallese,36,46.367,6.875,5,4.51
1881 08 03 14 42,Alessandrino,3,44.724,8.524,4,3.7
1881 11 25 17 25,"Vaud, Aigle",,46.3,6.97,6,4.6
1882 02 15 05,Val Borbera,18,44.66,9.085,6,4.77
1882 02 27 06 30,Valle Seriana,37,45.878,9.926,06/07/20,4.81
1882 05 11 23 30,Tarentaise,4,45.483,6.533,4,3.7
1882 09 18 19 25,Monte Baldo,7,45.71,10.77,7,5.08
1883 03 07 21 15,Piemonte sud-occidentale,21,44.604,7.401,04/05/20,4.17
1884 09 12 07 23,Pianura lombarda,34,45.547,9.77,6,4.7
1885 02 26 20 48,Pianura Padana,78,45.209,10.169,6,5.01
1885 04 13 10 25,"Berna, Zweisimmen",,46.57,7.38,7,4.9
1885 09 25 23 58,"Vallese, Sion",,46.217,7.35,05/06/20,4.3
1886 09 05,Torinese,101,45.036,7.306,7,5.22
1886 09 29 17 25,"Bassa Engadina, S-chanf",,46.61,10.05,5,4.2
1886 10 15 02 20,Collecchio,44,44.75,10.306,6,4.7
1887 05 20 04 12,Lecchese,36,45.827,9.359,5,3.97
1891 01 20 03 16,"Vallese, Ovronnaz",,46.3,7.25,5,3.9
1891 05 28 06 15,Alessandrino,9,44.714,8.669,5,4.13
1891 06 07 01 06 14.00,Valle d'Illasi,403,45.564,11.165,08/09/20,5.87
1891 06 15,Peschiera,35,45.43,10.767,6,4.69
1891 10 13 00 40,"Bassa Engadina, Scuol",,46.81,10.35,4,3.2
1891 12 20 16 36,Val d'Ossola,10,46.204,8.297,04/05/20,3.96
1891 12 22,Valtellina,7,46.139,9.829,05/06/20,4.41
1892 01 05,Garda occidentale,93,45.592,10.471,06/07/20,4.96
1892 03 05,Valle d'Aosta,86,45.569,7.797,7,4.98
1892 08 09 07 58,Valle d'Alpone,160,45.566,11.204,06/07/20,4.91
1894 02 09 12 48 05.00,Valle d'Illasi,116,45.584,11.14,6,4.74
1894 11 27 05 07,Bresciano,183,45.563,10.123,6,4.89
1895 05 12 20 29,Reggiano,13,44.745,10.605,04/05/20,3.98
1895 10 12 02 45,Monte Baldo,3,45.764,10.809,5,4.16
1895 11 02 07 30,Valle de' Signori,11,45.649,11.155,5,4.33
1896 01 06 17 40 42.00,Monte Baldo,3,45.734,10.788,4,3.7
1896 10 06 16 30,"Vaud, Lausanne",,46.483,6.767,05/06/20,4.3
1897 01 27 01 35,Prealpi Vicentine,16,45.817,11.151,04/05/20,4.11
1897 07 06 20 44,Mar Ligure,62,44.417,8.652,5,4.22
1897 09 18 09 15,"Grigioni, Chur",,46.87,9.53,5,4.3
1898 03 04 21 05,Parmense,313,44.655,10.26,07/08/20,5.37
1898 05 06 13 10,"Berna, Kandersteg",,46.6,7.68,6,4.8
1898 11 16,Garda occidentale,43,45.665,10.41,6,4.63
1899 05 30 07,"Tirol, Haeselgehr",,47.31,10.49,04/05/20,3.93
1899 10 30 15 12,Prealpi Vicentine,8,45.78,11.195,5,4.27
1900 05 18 01 24,"Vaud, Le Léman",7,46.458,6.812,04/05/20,3.93
1900 08 16 21,Canavese,3,45.416,7.502,5,4.16
1900 12 30 23 36 20.00,Alto Monferrato,36,44.651,8.447,5,4.35
1901 01 10 07 58,Alto Monferrato,3,44.616,8.442,4,3.7
1901 01 23 00 17 10.00,Oltrepò Pavese,90,45.034,8.998,5,4.23
1901 03 29 07 05,Val di Susa,8,45.178,7.101,5,4.28
1901 05 25 03 59 20.00,Piemonte centro-meridionale,35,44.923,7.563,5,4.5
1901 10 30 14 49 58.00,Garda occidentale,289,45.584,10.49,07/08/20,5.44
1901 10 30 14 51 41.00,Garda occidentale,,,,,
1902 04 11 01 28 44.00,Valle Scrivia,3,44.856,8.86,4,3.7
1902 06 19 09 23,Alpi Retiche,184,46.823,11.257,06/07/20,4.96
1902 11 21 09 10,Val di Susa,5,45.036,7.073,5,4.16
1903 01 31 23 30,"Vorarlberg, Langen/Arlberg",,47.13,10.12,5,4.16
1904 01 16 16 28 30.00,Campo Ligure,16,44.456,8.493,4,4.01
1905 04 29 01 46 45.00,"Haute-Savoie, Vallorcine",267,46.016,7.011,07/08/20,5.1
1905 08 13 10 22,Massif du Mont-Blanc,24,45.971,6.992,06/07/20,4.9
1905 09 16 03 04,"Vorarlberg, Langen",,47.13,10.12,5,4.16
1905 12 06 00 08,Basso Vallese,31,46.1,7,04/05/20,3.5
1905 12 25 17 05,"Grigioni, Domat-Ems",,46.81,9.48,6,4.7
1905 12 26 00 25,"Grigioni, Tamins",,46.88,9.43,6,4.7
