Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1046 11 09,Trentino,2,,,,
1183 12,Verona,1,45.439,10.994,06/07/20,4.86
1201 05 04,"Carinthia, Millstatt",3,46.831,13.671,06/07/20,4.86
1242 10 24,Vicenza,1,45.548,11.546,05/06/20,4.4
1284 01 17 15 30,Venezia,1,45.438,12.336,5,4.16
1301 06 11 04,Cividale del Friuli,1,46.093,13.431,5,4.16
1323,Costa croata settentrionale,,45.2,14.7,9,6.03
1334 12 04,Verona,1,45.439,10.994,06/07/20,4.86
1348 01 25,Alpi Giulie,89,46.504,13.581,9,6.63
1364 08,Friuli,1,,,,
1365 03 04,Pianura Veneta,4,45.337,12.019,5,4.63
1365 09 21 05 45,Verona,2,45.439,10.994,05/06/20,4.4
1373 01,Vicenza,1,45.548,11.546,05/06/20,4.4
1373 03 01 08,Venezia,1,45.438,12.336,5,4.16
1373 04,Vicenza,1,45.548,11.546,05/06/20,4.4
1376 03 12 01 15,Vicenza,1,45.548,11.546,06/07/20,4.86
1376 03 15,Vicenza,1,45.548,11.546,05/06/20,4.4
1389 08 20 13,Friuli,3,46.406,13.197,06/07/20,4.86
1392 01 28 00 30,Belluno,1,46.139,12.218,04/05/20,3.93
1401 06 29 09,Belluno,1,46.139,12.218,5,4.16
1402,Verona,1,45.439,10.994,6,4.63
1403 01 12 05 30,Belluno,1,46.139,12.218,6,4.63
1403 09 06,Cividale del Friuli,1,46.093,13.431,8,5.56
1404 02 01 21,Belluno,1,46.139,12.218,5,4.16
1405 06 26 13 45,Feltrino,2,46.019,11.906,04/05/20,3.93
1406 05 28 21 30,Belluno,1,46.139,12.218,04/05/20,3.93
1410 06 10 21,Verona,5,,,,
1411 07 01 06,Belluno,1,46.139,12.218,04/05/20,3.93
1445 03 21 13 30,Verona,1,45.439,10.994,05/06/20,4.4
1472 05 14,Friuli,2,,,,
1485 09 01,Pianura padano-veneta,4,45.355,11.721,5,4.16
1491 01 24 23 50,Padova,1,45.407,11.875,06/07/20,4.86
1493 08 24,Gemona del Friuli,1,46.279,13.135,5,4.16
1508 01,Ljubljana,,46,14.5,7,5.1
1511 03 26 15 30,Friuli-Slovenia,120,46.209,13.216,9,6.32
1511 03 28 14 30,Friuli-Slovenia,7,,,,
1511 04 01 17,Friuli-Slovenia,5,,,,
1511 04 20 07,Friuli-Slovenia,1,,,,
1511 06 06 13,Friuli-Slovenia,1,,,,
1511 06 25,Friuli-Slovenia,3,,,,
1511 06 26 23,Friuli-Slovenia,1,,,,
1511 08 16 03 30,Friuli-Slovenia,2,,,,
1512 02 08 10 30,Friuli-Slovenia,1,,,,
1514 07 12,Friuli,2,,,,
1516 05 20 23,Pianura Padana,4,,,,
1516 12 19 23,Gemona del Friuli,1,46.279,13.135,5,4.16
1522 07 05 24,Udine,2,46.063,13.234,4,3.7
1523 06 07,Friuli,2,46.171,13.184,4,3.7
1525 02 19 21,Friuli,4,46.087,13.066,5,4.57
1529 04 14,Friuli,2,45.751,12.785,5,4.16
1549 09 10 02,Belluno,1,46.139,12.218,06/07/20,4.86
1572 01 04 18 45,"Tirol, Innsbruck",6,47.283,11.467,6,4.74
1574 08 14,Istria settentrionale,,45.4,14.1,8,5.56
1575 11 17 10 30,Pordenonese,4,46.062,12.635,06/07/20,4.86
1590 04 22 12 30,Ljubljana,,46.08,14.5,7,5.1
1595 07 12,"Tirol, Hall",,47.28,11.51,6,4.63
1595 07 14 01 30,Friuli,3,46.063,13.234,4,3.7
1599 12 29 02 30,Ljubljana,,46,14.5,5,4.16
1606 12 12,Padova,1,45.407,11.875,5,4.16
1621,Ljubljana,,46.17,14.5,7,5.1
1622 05 05 11,Ljubljana,3,46.172,14.657,07/08/20,5.33
1625,Ljubljana,,46,14.5,7,5.1
1626 01 07 04,Ljubljana,,46.08,14.5,6,4.63
1641 01 13 06,Ljubljana,,46.08,14.5,6,4.63
1643 03 19 02 30,Ljubljana,,46,14.5,6,4.63
1646 02 22,Padova,1,45.407,11.875,5,4.16
1648,Costa croata settentrionale,,44.98,14.9,8,5.56
1662 12 29,Padova,1,45.407,11.875,5,4.16
1669 09 01 03,Ljubljana,,46.08,14.53,6,4.63
1669 12 29,Ljubljana,,46.08,14.5,5,4.16
1670 01 01 01,Ljubljana,,45.95,14.33,05/06/20,4.4
1670 07 17 01,"Tirol, Hall",29,47.293,11.493,8,5.65
1683 05 25,Valli Giudicarie,4,46.025,10.864,05/06/20,4.4
1684 10 21 05 30,Ljubljana,,46.08,14.5,7,5.1
1686,Ljubljana,,46,14.5,6,4.63
1689 12 22 01,"Tirol, Innsbruck",8,47.263,11.566,07/08/20,5.33
1690 05 04,Belluno,1,46.139,12.218,05/06/20,4.4
1690 12 04 14,"Carinthia, Villach",60,46.633,13.88,08/09/20,6.16
1691 02 19,Ljubljana,6,46.088,14.453,07/08/20,5.33
1691 12 10,Ljubljana,,46.2,14.5,07/08/20,5.33
1695 02 25 05 30,Asolano,107,45.861,11.91,10,6.4
1700 07 28,Carnia,28,46.433,12.868,08/09/20,5.7
1703 11 23 13,Ljubljana,,46.08,14.5,6,4.63
1706 03 28,"Tirol, Innsbruck",,47.27,11.39,6,4.63
1706 12 02,"Tirol, Hall",,47.28,11.51,06/07/20,4.86
1711 05 21,Vicentino,2,45.548,11.546,4,3.7
1716 02 03,Slovenia occidentale,,46.08,13.62,7,5.1
1719 01 07,Italia nord-orientale,11,46.123,11.991,05/06/20,4.94
1721 01 12,Costa croata settentrionale,,45.3,14.4,10,6.5
1727 08 18,"Tirol, Innsbruck",,47.27,11.39,06/07/20,4.86
1746 10 08,Friuli,2,46.037,13.38,05/06/20,4.4
1750 12 17,Rijeka,6,45.387,14.411,06/07/20,4.86
1755 08 28,Pordenone,1,45.959,12.658,4,3.7
1756 02 26,Valle del Brenta,3,45.893,11.82,4,3.7
1756 04 13,Treviso,1,45.666,12.245,06/07/20,4.86
1762 04 18 11 30,Carnia,1,46.512,12.992,4,3.7
1767 05 10,Carnia,1,46.512,12.992,4,3.7
1770 10 07,Carnia,1,46.512,12.992,4,3.7
1775 08 26,Carnia,1,46.512,12.992,4,3.7
1776 04 24 16 36,Costa croata settentrionale,3,45.3,14.58,7,5.1
1776 07 10,Prealpi Friulane,19,46.233,12.706,08/09/20,5.82
1778 04 21,Carnia,1,46.512,12.992,04/05/20,3.93
1780 09 08 17,Carnia,1,46.512,12.992,4,3.7
1781 12 23 17,Carnia,1,46.512,12.992,4,3.7
1782 04 11 20,Carnia,1,46.512,12.992,4,3.7
1782 12 10,Carnia,1,46.512,12.992,4,3.7
1783 07 28,Garda settentrionale,4,45.879,10.808,6,4.63
1784 03 24,Ljubljana,,46.08,14.5,06/07/20,4.86
1785 07 19 22 30,Val Lagarina,5,45.978,11.079,4,3.7
1786 04 11 09,Ljubljana,,46.08,14.5,6,4.63
1786 12 28,Carnia,1,46.512,12.992,4,3.7
1787 04 25,Carnia,1,46.512,12.992,4,3.7
1787 12 09 04 30,Carnia,1,46.512,12.992,4,3.7
1788 10 20 21 10,Carnia,9,46.398,13.019,07/08/20,5.19
1789 08 04,Prealpi Friulane,5,45.938,12.302,04/05/20,3.93
1792 10 20,Carnia,1,46.512,12.992,4,3.7
1794 05 12 10 59,"Tirol, Innsbruck",,47.27,11.39,6,4.63
1794 06 07 00 45,Prealpi Friulane,19,46.306,12.821,08/09/20,5.96
1794 06 07 02 35,Prealpi Friulane?,,,,,
1794 06 30 04 45,Prealpi Friulane,8,46.297,12.795,07/08/20,5.4
1795 01 01 02 15,Carnia,1,46.512,12.992,5,4.16
1797 10 30 05,Carnia,1,46.512,12.992,4,3.7
1799 10 26 04,Carnia,1,46.512,12.992,4,3.7
1801 07 18 18,Carnia,1,46.512,12.992,4,3.7
1802 01 04,Slovenia,8,,,,
1803 03 01 16,Carnia,1,46.512,12.992,4,3.7
1812 10 25 07,Pordenonese,34,46.027,12.589,07/08/20,5.62
1814 04 28,"Tirol, Innsbruck",,47.27,11.39,6,4.63
1815 02 26,Prealpi Vicentine,3,45.722,11.433,4,3.7
1819 05 02 14,Slovenia occidentale,,46,14.02,06/07/20,4.86
1820 07 17 06 30,"Tirol, Schwaz",,47.35,11.71,7,5.1
1822 08 12 02 30,Ljubljana,,46.05,14.5,6,4.63
1830 08 11 12 20,"Carinthia, Loiblpass",,46.49,14.27,6,4.63
1833 01 11 00 50,Ljubljana,,45.98,14.57,5,4.16
1833 11 20 00 25,Alta Carniola,,46.37,14.3,5,4.16
1834 02 02 08 02,Carniola interna,,45.77,14.23,5,4.16
1835 10 31 07 30,"Carinthia, Spittal/Trebesn",,46.88,13.51,05/06/20,4.4
1836 06 12 02 30,Asolano,26,45.803,11.825,8,5.53
1836 06 29 01 28,Ljubljana,,46.07,14.65,6,4.63
1837 06 21 10,Carinthia,,46.5,14.84,6,4.63
1838 08 10 19 30,Costa croata settentrionale,,45.2,14.5,7,5.1
1840 08 27 12 05,Tuhinj Valley,49,46.207,14.707,7,5.28
1840 08 30 05,Tuhinj Valley,3,46.226,14.612,4,3.7
1841 10 06 03,Carnia,,46.417,13,6,4.63
1845 12 21 20 40,Ljubljana,5,46,14.419,5,4.16
1845 12 22 01,Ljubljana,,46.08,14.52,6,4.63
1850 07 10 02 30,Slovenia nord-occidentale,9,46.368,13.957,5,4.64
1850 09 01 09 45,Val Pusteria,1,46.803,11.951,6,4.63
1853 02 19 10,Carnia,1,46.374,13.096,7,5.1
1855 03 18 06 15,"Carinthia, Villach",,46.61,13.85,6,4.63
1856 09 27 05 53,Ljubljana,,46.05,14.5,05/06/20,4.4
1856 11 09 22 17,Slovenia centrale,,45.87,14.5,7,5.1
1856 11 10 07 30,Slovenia centrale,,45.87,14.5,05/06/20,4.4
1856 11 27 05 53,Ljubljana,,46.01,14.5,05/06/20,4.4
1857 03 07,Stiria,13,46.749,14.3,06/07/20,5.21
1857 03 10 03,Prealpi Trevigiane,4,45.726,12.188,04/05/20,4.04
1857 10 19 12,Carniola interna,,45.57,14.25,5,4.16
1857 12 25 01 30,"Carinthia, Rosegg",,46.59,14.02,7,5.1
1859 01 20 07 55,Prealpi Trevigiane,36,45.893,12.103,6,4.8
1859 04 28 06 45,"Tirol, Jenbach",,47.39,11.77,6,4.63
1859 09 29 08 30,Belluno,1,46.139,12.218,5,4.16
1860 07 19,Prealpi Trevigiane,10,45.889,12.146,06/07/20,4.92
1861 05 19,Asolano,2,45.736,11.92,6,4.63
