Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1005,Arezzo,4,43.464,11.882,06/07/20,4.86
1005,Cassino,1,41.488,13.831,7,5.1
1019 04 01,Benevento,1,41.131,14.778,6,4.63
1044 04 19 09,Benevento,1,41.131,14.778,6,4.63
1091 01 27,Roma,1,41.899,12.477,7,5.1
1094 01 14,Benevento,1,41.131,14.778,6,4.63
1120 03 25,Valle del Garigliano,4,41.377,13.917,08/09/20,5.8
1125 10 11,Benevento,1,41.131,14.778,07/08/20,5.33
1139 01 22,Benevento,1,41.131,14.778,05/06/20,4.4
1160 10 15,Subiaco,2,41.925,13.095,07/08/20,5.33
1161 01 16 06,Frusinate,1,41.568,13.334,7,5.1
1170 05 09,Frusinate,1,41.568,13.334,8,5.56
1198,Pozzuoli,1,40.822,14.123,6,3.37
1209,Appennino abruzzese,2,,,,
1231 06 01 11,Cassinese,3,41.488,13.831,7,5.1
1246,Spoleto,1,42.736,12.737,07/08/20,5.33
1258 02 19 16 30,Monti della Meta,2,,,,
1269,Alta Valtiberina,2,,,,
1269 09,Costa anconetana,2,43.566,13.567,8,5.56
1275 11 02,Isola d'Ischia,1,40.743,13.942,08/09/20,4.01
1276 05 22,Orvietano,2,42.721,12.091,8,5.56
1277,Spoleto,1,42.736,12.737,8,5.56
1279 04 30 18,Appennino umbro-marchigiano,17,43.093,12.872,9,6.2
1280,Napoli,1,,,,
1287,Monte Amiata,1,42.88,11.678,06/07/20,4.86
1293 09 04,Sannio-Matese,6,41.304,14.548,08/09/20,5.8
1294,Capitanata,1,,,,
1298 11 30,Rieti,1,42.402,12.86,05/06/20,4.4
1298 12 01,Monti Reatini,5,42.575,12.902,09/10/20,6.26
1303 08,Adriatico centrale,4,,,,
1315 12 03,Aquilano,4,42.351,13.399,8,5.56
1328 12 01,Valnerina,13,42.857,13.018,10,6.49
1348 09 13,Subiaco,1,41.925,13.095,8,5.56
1349 01 22 18,Isernia,1,41.592,14.228,05/06/20,4.4
1349 09 09,Appennino laziale-abruzzese,17,42.27,13.118,9,6.27
1349 09 09,Maiella,4,,,,
1349 09 09 08 15,Viterbese,9,,,,
1349 09 09,Lazio-Molise,24,41.554,13.942,10,6.8
