Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1087 09 10,Bari,1,41.129,16.869,06/07/20,4.86
1184 05 24,Valle del Crati,6,39.395,16.193,9,6.75
1273 12 18,Potenza,1,40.638,15.802,08/09/20,5.8
1294,Capitanata,1,,,,
1353 04 22,Vulture,1,,,,
1361 07 17 17 15,Subappennino dauno,2,41.205,15.561,9,6.03
1414,Gargano,1,41.882,16.18,08/09/20,5.8
1466 01 15 02 25,Irpinia-Basilicata,31,40.765,15.334,08/09/20,5.98
1517 03 29 19,Irpinia,3,41.011,15.21,07/08/20,5.33
1549 05 31,Stretto di Messina,1,,,,
1556 11 17,Cosenza,1,39.303,16.252,7,5.1
1559 04 27 12,Pollino,2,39.844,16.136,06/07/20,4.86
1560 05 11 04 40,Costa pugliese centrale,7,41.249,16.485,8,5.66
1561 07 31 19 45,Vallo di Diano,22,40.65,15.389,9,6.34
1561 08 19 15 50,Vallo di Diano,32,40.563,15.505,10,6.72
1619 01 25,Calabria,1,,,,
1621 08 09,Calabria,1,,,,
1624 02 03,Calabria centrale,4,39.027,16.283,7,5.1
1625 08,Vulture,1,40.961,15.818,08/09/20,5.8
1627 09 06 15 50,Capitanata,2,41.597,15.358,08/09/20,5.8
1634 11 10,Matera,1,40.667,16.611,06/07/20,4.86
1638 03 27 15 05,Calabria centrale,213,39.048,16.289,11,7.09
1638 06 08 09 45,Crotonese,41,39.279,16.812,10,6.76
1646 05 31,Gargano,35,41.905,15.993,10,6.72
1647 05 05 12 30,Gargano,5,41.732,15.558,07/08/20,5.69
1656 06,Cosenza,1,39.303,16.252,07/08/20,5.33
1656 10 17,Gargano,2,41.706,15.959,5,4.16
1689 09 21,Costa pugliese centrale,3,41.273,16.288,06/07/20,4.86
1691 09 26,Tavoliere delle Puglie,1,41.264,15.898,5,4.16
1692 03 04 22 20,Irpinia,9,40.903,15.196,8,5.88
1693 01 08,Pollino,16,39.873,16.157,7,5.27
1694 09 08 11 40,Irpinia-Basilicata,251,40.862,15.406,10,6.73
1697 02 01 20,Calabria centrale,2,39.019,16.337,05/06/20,4.4
1708 01 26,Pollino,7,39.93,16.105,8,5.56
1708 03 03,Appennino lucano,2,39.941,15.804,06/07/20,4.86
1708 04 15 03 10,Appennino lucano,2,40.059,15.742,5,4.16
1710 12 13 21,Salento,2,40.412,17.707,5,4.16
1713 01 03,Bassa Murgia,2,40.589,17.113,05/06/20,4.4
1720 06 07,Tavoliere delle Puglie,7,41.262,15.92,06/07/20,5.22
1722 09,Matera,1,40.667,16.611,5,4.16
1728 05,Lamezia Terme,1,38.974,16.318,05/06/20,4.4
1731 03 20 03,Tavoliere delle Puglie,49,41.274,15.757,9,6.33
1731 05 10 05 20,Costa pugliese centrale,3,41.3,16.349,05/06/20,4.4
1731 10 17 11,Tavoliere delle Puglie,6,41.317,15.947,06/07/20,4.86
1732 11 29 07 40,Irpinia,183,41.064,15.059,10/11/20,6.75
1733 01 29,Irpinia,4,,,,
1733 05 15 00 30,Puglia,3,,,,
1739 02 12 21 30,Tavoliere delle Puglie,5,41.462,15.545,05/06/20,4.4
1740 02 24 13,Catanzarese,2,38.905,16.594,4,3.7
1740 03 26 17,Catanzarese,2,38.905,16.594,4,3.7
1743 02 20,Ionio settentrionale,84,39.847,18.774,9,6.68
1743 10 02,Amantea,1,39.132,16.081,7,5.1
1744 03 21 20,Sila Piccola,29,39.04,16.781,8,5.74
1756 10 22,Golfo di Manfredonia,4,41.63,15.917,05/06/20,4.4
1759 05 20,Val d'Agri,1,40.421,15.735,5,4.16
1761 05 03 08 15,Catanzaro,1,38.905,16.594,7,5.1
1767 07 14 01 05,Valle del Crati,8,39.375,16.279,08/09/20,5.89
1790 06,Calabria,1,,,,
1792 04 01 12,Pollino,1,39.973,16.087,05/06/20,4.4
1807 11 11,Val d'Agri,6,40.3,15.84,06/07/20,4.87
1817 04 17,Potentino,7,40.576,15.763,04/05/20,3.97
1821 08 02,Calabria centrale,3,38.939,16.456,7,5.1
1821 09 13,Calabria centrale,2,38.939,16.456,6,4.63
1822 07 14,Crotonese,4,39.282,16.903,6,4.63
1824 12 11,Sila Greca,4,39.54,16.588,07/08/20,5.33
1825 04 11 19 15,Appennino lucano,4,39.977,15.882,04/05/20,3.93
1826 02 01 16,Potentino,18,40.52,15.726,8,5.74
1826 10 26 18,Salento,7,40.502,17.433,06/07/20,5.22
1831 01 02 14 07,Appennino lucano,13,40.082,15.786,8,5.53
1831 09,Irpinia,1,40.927,15.177,6,4.63
1832 03 08 18 30,Crotonese,99,39.079,16.919,10,6.65
1833 01 19 03 15,Albania,6,,,,
1835 10 12 22 35,Cosentino,36,39.33,16.293,9,5.89
1836 04 25 00 20,Calabria settentrionale,44,39.567,16.737,9,6.18
