Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1616 06 04,Sardegna meridionale,10,39.131,9.502,06/07/20,4.91
1771 08 17 18,Sardegna meridionale,7,39.213,8.936,5,4.43
1775 10 06 07 35,Corsica,1,42.167,8.8,05/06/20,4.4
1775 10 22 02 12,Corsica,2,42.175,8.809,7,5.1
1838 02 02,Sardegna settentrionale,1,,,,
1924 01 24 02 22 45.00,Mare di Corsica,,41.7,8.5,,
1928 02 07 23,Corsica,29,41.795,8.934,5,4.46
1948 11 13 09 52,Mar di Sardegna,18,41.082,8.969,6,4.72
1970 06 18 09 03 00.20,Mare di Sardegna,,40.95,7.42,,4.79
1978 04 03 06 26 42.00,Corsica,66,42.267,9.45,6,4.48
2000 04 26 13 28 41.08,Tirreno centrale,,40.929,10.077,,4.3
2000 04 26 13 37 46.78,Tirreno centrale,265,40.955,10.097,,4.77
2000 06 27 04 07 55.38,Tirreno centrale,,40.914,10.114,,4.31
2001 03 03 01 54 54.54,Tirreno centrale,,40.884,9.99,,4
2001 11 07 09 40 46.01,Tirreno centrale,,41.409,10.126,,4.35
2004 12 12 11 52 33.18,Tirreno centrale,40,41.015,9.967,,4.06
2004 12 18 09 12 46.57,Tirreno centrale,30,40.958,10.05,,4.58
2011 07 02 14 43 05.87,Mare di Corsica,,42.004,7.617,,4.25
2011 07 07 19 21 47.77,Mare di Corsica,346,42.087,7.593,4,5.12
2012 03 04 03 47 40.27,Mare di Corsica,,42.08,7.565,,4.45
1616 06 04,Sardegna meridionale,10,39.131,9.502,06/07/20,4.91
1771 08 17 18,Sardegna meridionale,7,39.213,8.936,5,4.43
1977 08 28 09 45 14.33,Canale di Sardegna,,38.235,8.187,,5.44
2006 03 24 10 43 47.58,Capo Teulada,,38.924,8.931,,4.03
