Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1125 06 07 11,Siracusa,1,37.073,15.286,08/09/20,5.8
1169 02 04 07,Sicilia sud-orientale,8,37.215,14.949,10,6.5
1172 09 26 13 40,Messina,1,38.185,15.555,8,5.56
1230 04 05,Reggio di Calabria,1,38.108,15.647,05/06/20,4.4
1255 11 17 10,Messina,1,38.185,15.555,06/07/20,4.86
1295 09 01 03,Sicilia,1,,,,
1323 06 30,Etna,1,,,,
1329 06 28 22,Etna - Area sommitale,1,37.75,15,07/08/20,4.03
1352 01 25,Catania,1,37.502,15.087,07/08/20,5.33
1429 11 10 16 20,Messina,1,38.185,15.555,06/07/20,4.86
1444,Etna,1,,,,
1448,Messina,1,38.185,15.555,5,4.16
1450,Sicilia settentrionale,2,38.113,14.884,05/06/20,4.4
1490 06 10,Sicilia settentrionale,4,37.816,14.614,7,5.1
1494 05 29 02 15,Messina,1,38.185,15.555,07/08/20,5.33
1499 11 09,Messina,1,38.185,15.555,07/08/20,5.33
1509 02 25 22 20,Stretto di Messina,4,38.099,15.684,8,5.56
1513 08 25,Messina,1,38.185,15.555,5,4.16
1517 12 31 03 55,Catania,1,37.502,15.087,5,4.16
1518 05 20 21 40,Catania,1,37.502,15.087,5,4.16
1524 12 29 07 50,Catania,1,37.502,15.087,5,4.16
1536 03 23,Catania,1,37.502,15.087,06/07/20,4.86
1537 05,Catania,1,37.502,15.087,05/06/20,4.4
1542 11 30 18 40,Sicilia sud-orientale,3,37.367,14.803,5,4.16
1542 12 10 15 15,Sicilia sud-orientale,32,37.215,14.944,10,6.68
1549 04,Messina,1,38.185,15.555,5,4.16
1559 06 29,Palermo,1,38.115,13.362,5,4.16
1562 04 06 01 30,Palermo,1,38.115,13.362,5,4.16
1566 11 30,Etna - Versante settentrionale,2,37.877,14.948,06/07/20,3.47
1578,Stretto di Sicilia,1,37.508,13.083,7,5.1
1599 08,Stretto di Messina,2,38.147,15.601,7,5.1
1601,Messina,1,38.185,15.555,5,4.16
1613 08 25 05,Monti Nebrodi,2,38.122,14.788,8,5.56
1624 10 03 17,Monti Iblei settentrionali,3,37.27,14.742,8,5.56
1633 02 22 03,Etna - Nicolosi,2,37.614,15.026,07/08/20,4.03
1634 12 21 18,Etna - Versante meridionale,3,37.614,15.081,06/07/20,3.47
1635 08 12,Messina,3,38.185,15.555,05/06/20,4.4
1643 07 17,Monti Nebrodi,1,37.783,14.599,06/07/20,4.86
1649 01,Stretto di Messina,2,38.185,15.555,05/06/20,4.4
1661 02 25 01 30,Palermo,1,38.115,13.362,5,4.16
1669 03 10 23 25,Etna - Nicolosi,3,37.614,15.026,07/08/20,4.03
1669 03 11 06,Etna - Versante meridionale,2,37.605,15.019,05/06/20,2.91
1669 03 11 13,Etna - Versante meridionale,2,37.614,15.026,05/06/20,2.91
1669 03 13 20,Etna - Versante meridionale,1,37.613,15.166,6,3.19
1677 03,Milazzo,1,,,,
1686 06 13 10,Palermo,1,38.115,13.362,5,4.16
1693 01 09 21,Sicilia sud-orientale,30,37.141,15.035,08/09/20,6.07
1693 01 11 08,Sicilia sud-orientale,8,,,,
1693 01 11 13 30,Sicilia sud-orientale,179,37.14,15.013,11,7.32
1693 02 23,Modica,1,36.858,14.761,6,4.63
1693 04 01 07 50,Ionio meridionale,4,37.587,15.309,6,4.63
1693 04 17 19,Sicilia sud-orientale,4,36.858,14.761,5,4.16
1693 05 12 13 20,Modica,2,36.858,14.761,6,4.63
1693 05 27 05,Sicilia orientale,1,,,,
1693 07 08 17 50,Sicilia sud-orientale,7,37.216,15.081,6,4.93
1694 05 16,Sicilia orientale,7,37.558,15.127,05/06/20,4.4
1696 04 20 12,Sicilia sud-orientale,2,36.858,14.761,05/06/20,4.4
1698 01 01,Monti Iblei settentrionali,6,37.292,14.789,07/08/20,5.66
1706 03 19,Stretto di Messina,4,38.203,15.641,05/06/20,4.76
1711 01 07,Stretto di Messina,1,38.108,15.647,5,4.16
1711 02 21,Stretto di Messina,2,38.147,15.601,5,4.16
1711 03 14,Stretto di Messina,2,38.147,15.601,5,4.16
1712 07 16,Calabria meridionale,4,38.202,16.064,05/06/20,4.4
1715 03,Sicilia nord-orientale,2,38.204,15.398,6,4.63
1716 12 01,Catania,2,37.502,15.087,6,4.63
1717 04 04,Ragusano,2,36.95,14.532,06/07/20,4.86
1717 04 22,Monti Peloritani,7,38.099,15.211,06/07/20,4.91
1717 06 15,Ionio meridionale,2,,,,
1718 02 20,Sicilia orientale,7,37.599,14.619,06/07/20,5.25
1720 09 12,Calabria meridionale,2,38.228,15.887,05/06/20,4.4
1724 08 03,Stretto di Messina,4,38.178,15.686,06/07/20,4.99
1726 09 01 21 55,Tirreno meridionale,8,38.115,13.362,07/08/20,5.48
1727 01 07,Val di Noto,14,36.915,15.046,06/07/20,4.64
1727 05 08 05 30,Stretto di Sicilia,9,37.508,13.083,05/06/20,4.64
1727 07 04,Sicilia occidentale,,,,,
1729 06 29 13,Golfo di Patti,4,38.154,15.139,06/07/20,4.86
1732 03 28,Monti Peloritani,3,38.169,15.335,5,4.16
1736 08 16,Sicilia centro-settentrionale,5,37.897,13.562,06/07/20,4.86
1737 11 11 00 20,Siracusa,1,37.073,15.286,05/06/20,4.4
1739 05 10 15 25,Monti Nebrodi,6,38.098,14.744,8,5.41
1739 06 05,Etna - Versante nord-occidentale,2,37.832,14.891,06/07/20,3.47
1740 06 13,Stretto di Sicilia,3,37.582,12.84,06/07/20,4.86
1747 09,Reggio di Calabria,1,38.108,15.647,6,4.63
1749 08,Messina,1,38.185,15.555,08/09/20,5.8
1751 07 13 15 30,Palermo,1,38.115,13.362,06/07/20,4.86
1751 07 28 16 30,Palermo,1,38.115,13.362,06/07/20,4.86
1751 08 02,Palermo,1,38.115,13.362,06/07/20,4.86
1751 09 01,Palermo,1,38.115,13.362,5,4.16
1757 08 06,Siracusa,1,37.073,15.286,5,4.16
1770 06 08,Stretto di Messina,2,38.108,15.647,05/06/20,4.4
1780 03 28,Sicilia nord-orientale,10,37.866,15.316,07/08/20,5.52
1780 04 09,Stretto di Messina,3,38.185,15.555,06/07/20,4.86
1780 09 14,Golfo di Patti,5,38.081,14.982,07/08/20,5.33
1783 02 05 12,Calabria meridionale,356,38.297,15.97,11,7.1
1783 02 06 00 20,Stretto di Messina,8,,,,
1783 04 26 02 10,Sicilia nord-orientale,2,38.204,15.398,05/06/20,4.4
1785 03 17 03 33,Stretto di Messina,4,38.185,15.555,06/07/20,4.86
1786 03 10 14 10,Golfo di Patti,10,38.102,15.021,9,6.14
1787 09 20 04,Messina,1,38.185,15.555,5,4.16
1789 02 07,Calabria meridionale,3,38.391,15.875,7,5.1
1792,Etna - Versante orientale,3,37.643,15.157,07/08/20,4.03
1805 07 11,Etna - Fondo Macchia (Giarre),1,37.718,15.15,08/09/20,4.59
1811 08 01 19,Reggio di Calabria,1,38.108,15.647,05/06/20,4.4
1817 01 14,Stretto di Sicilia,4,37.508,13.083,04/05/20,3.93
1817 10 19 02 30,Messina,1,38.185,15.555,05/06/20,4.4
1818 02 20 18 15,Catanese,128,37.603,15.14,09/10/20,6.28
1818 03 01 02 45,Monti Iblei,24,37.204,14.756,07/08/20,5.57
1818 09 08 09 50,Monti Madonie,24,37.813,14.082,07/08/20,5.34
1819 02 24 23 20,Monti Madonie,24,37.939,14.042,07/08/20,5.37
1819 07 26,Val di Noto,1,37.502,15.087,04/05/20,3.93
1820,Mineo,1,37.266,14.691,05/06/20,4.4
1822 04 06,Nicosia,7,37.747,14.398,05/06/20,4.34
1823 03 05 16 37,Sicilia settentrionale,107,38.185,14.344,8,5.81
1823 03 27,Isole Egadi,2,37.931,12.329,06/07/20,4.86
1828 05 18,Sicilia occidentale,1,37.797,12.447,7,5.1
1830 07 13 15,Reggio di Calabria,3,38.108,15.647,05/06/20,4.4
1831 01 28,Milazzo,4,38.224,15.24,05/06/20,4.4
1831 12 15,Stretto di Sicilia,1,37.508,13.083,5,4.16
1832 10 31,Etna - Versante occidentale,3,37.76,14.845,06/07/20,3.47
1832 11 24 00 00,Etna - Nicolosi,2,37.614,15.026,7,3.75
1836 05 04,Stretto di Messina,1,38.108,15.647,06/07/20,4.86
1839 08 27,Stretto di Messina,2,38.147,15.601,5,4.16
1840 04 24 02 30,Stretto di Messina,1,38.108,15.647,5,4.16
1841 01 03 22,Stretto di Messina,3,38.108,15.647,06/07/20,4.86
1841 03 20,Isole Eolie,1,38.468,14.958,5,4.16
1841 08 15 02,Stretto di Messina,2,38.147,15.601,5,4.16
1842 11 18 01 15,Etna - Belpasso,5,37.607,15.022,06/07/20,3.47
1843 12 07,Misilmeri,1,38.035,13.451,05/06/20,4.4
1846 04 22 19 45,Piana di Catania,9,37.538,14.923,6,4.94
1848 01 11 12,Golfo di Catania,41,37.428,15.25,07/08/20,5.51
1848 10 07 03,Reggio di Calabria,1,38.108,15.647,5,4.16
1850 01 01 11 00,Etna - Versante sud-occidentale,3,37.617,14.922,8,4.31
1851 04 11 06,Stretto di Messina,2,38.147,15.601,5,4.16
1852 01 17 00 05,Reggio di Calabria,1,38.108,15.647,6,4.63
1852 05 13 21 40,Reggio di Calabria,1,38.108,15.647,5,4.16
1855 01 26 00 00,Etna - Fondo Macchia (Giarre),2,37.724,15.147,07/08/20,4.03
1865 07 19 01 00,Etna - Fondo Macchia (Giarre),32,37.702,15.153,9,4.87
1865 08 18 09 00,Etna - Versante sud-orientale,2,37.613,15.166,05/06/20,2.91
1865 08 19 12 30,Etna - S. Maria Ammalati (Acireale),16,37.641,15.165,8,4.31
